views,likes,dislikes,comments
245126,10805,474,1716
268776,13535,79,674
803919,17930,869,0
39976,451,57,190
284017,12495,157,2173
80799,2484,39,227
356135,641,48,105
249959,2221,171,170
382782,5854,323,2274
679693,19264,1438,1048
4575521,295651,5808,83065
12776633,130539,11553,24010
602009,6424,184,536
1726301,21400,617,3152
1274403,50344,1059,9163
10663409,210254,8458,11227
220455,29819,576,3754
1487848,58918,670,4890
498567,16751,257,3756
894312,11209,1263,1508
1909709,134565,2870,8180
911828,13702,485,1464
253763,2290,80,1440
462672,16668,455,4868
595349,2282,154,1014
716925,24506,172,3300
51960,32,9,8
318147,1826,1164,1052
743069,4784,2105,4403
367147,1164,134,1262
218737,7709,131,1127
354749,15633,412,4446
313377,2728,186,441
274026,6213,62,324
726328,30812,276,2089
501107,66478,5767,9094
370617,836,110,538
3280361,12863,1527,4594
461908,1567,304,744
154980,534,101,47
146794,2381,285,986
308429,996,154,503
1891954,86481,879,8941
207117,2869,152,530
185706,4970,113,1016
410442,2386,133,351
242382,19934,154,1183
619606,4883,117,169
87544,0,0,0
410390,2395,277,602
426783,16242,163,1704
101597,3050,515,0
105060,323,128,202
654378,3377,227,897
59491,4470,54,554
29999,1602,11,209
2794,17,1,0
601989,33903,4831,13468
215200,2090,384,1153
142707,2815,481,681
317620,2215,322,426
123281,4346,261,1640
26718,653,39,394
837867,36675,549,16619
125958,3144,60,273
5889680,458893,4635,22510
768171,0,0,582
403593,8649,129,1373
64196,392,54,85
156462,11880,23,874
446729,8438,276,709
1326266,12282,426,1390
5617078,328517,7469,92222
892555,44085,1088,9620
1553996,56447,1221,9954
2206768,24283,756,3619
13987067,137904,12199,25189
458899,42684,1475,4990
2314066,22064,1996,1644
1214852,14416,1658,1927
789527,23129,364,4812
27623,249,24,141
69698,45,18,10
347720,8695,354,834
325741,1686,277,185
458593,5911,77,262
1645731,61560,715,5052
2210421,146431,3262,8836
264174,4401,126,820
11218307,216489,8821,11975
452158,55766,952,2567
809452,25808,714,6678
692772,4998,400,1506
912643,47845,489,3049
169111,5171,28,241
248198,3686,234,811
1054338,14953,538,1511
196911,666,102,69
58919,912,26,151
171686,583,167,18
436937,1286,157,1382
291413,695,1167,618
172316,1412,51,607
107140,357,58,131
451973,16366,82,1324
420149,2330,1497,1370
38200,331,13,24
277350,4079,761,933
159988,1903,133,729
30330,434,19,67
182695,2647,355,1027
441753,4539,267,1787
147891,2153,117,517
671977,2448,166,1037
441532,922,125,588
167366,375,8,151
60371,2651,69,384
788390,25856,183,3026
303544,2081,223,440
859829,5574,2505,5315
169232,1235,434,498
79247,0,0,133
269061,6410,392,811
404383,2613,210,789
368946,7658,4479,1743
118969,0,0,0
329856,6924,72,397
646913,1967,441,739
413638,16973,470,4847
91997,6425,236,1435
111075,808,42,78
157711,839,93,260
26710,572,6,67
213574,5180,112,1800
5670852,262508,3453,16321
1902516,15189,548,1903
852717,27913,584,2494
890279,54503,1068,10271
37007,473,34,62
1018415,13741,448,1156
723917,19584,540,9244
5979360,338607,7953,95327
1002132,16444,598,811
433105,9050,622,1038
272316,8858,127,815
421279,11447,567,1975
328956,3742,314,897
643778,49283,2244,5962
1696299,59250,1311,9526
428452,2838,530,253
2375319,25043,805,3690
104483,57,27,14
306473,1645,281,201
359967,9656,228,1841
77340,3471,132,422
349779,1923,306,907
249255,7921,125,1040
36044,299,35,211
220173,1967,46,395
129738,4032,98,944
550813,49328,319,1567
1542768,17335,2014,2402
77848,791,19,213
2355918,22232,2012,1669
252590,12885,571,2346
29720,480,5,0
148005,523,122,21
589119,2450,1092,926
660670,7603,603,1556
320740,5092,151,954
406955,12731,131,1302
15104666,143947,12709,25593
1161029,45949,551,4593
223827,3397,364,1064
282886,1314,116,830
54292,306,42,86
318670,2202,218,557
6334,58,0,4
134189,4305,73,1237
127862,10501,150,1171
747273,74453,1530,3427
435235,551,24,243
1227681,7142,633,1933
270142,12507,114,425
54593,434,31,61
111471,2847,19,503
100721,4234,74,873
1221292,56600,618,3520
340859,4093,304,790
198398,3511,215,904
385190,3892,259,969
21331,453,52,102
1739935,63109,743,5144
81873,4420,87,1179
2351153,151042,3452,9095
314413,6684,148,2336
79163,681,66,181
401271,561,38,193
125491,845,49,82
867145,27184,763,6376
606262,10598,932,1189
682599,19487,120,1521
378704,3442,362,1737
87899,7136,58,1216
124847,2692,21,282
95734,312,74,230
292570,2078,84,819
8952634,360340,6503,24248
1980168,77377,1955,9955
684622,40850,808,6030
68651,951,64,131
1063140,85894,964,6742
349459,9016,430,2220
927209,10977,283,1270
236512,16877,195,4041
1163659,33468,782,3102
652313,18506,230,1568
2132668,16577,596,2024
1623141,30437,1057,15202
369609,23963,289,4882
735600,9036,606,1772
71820,44,12,30
1685189,39386,383,1251
301636,1616,284,213
233969,5414,334,538
86574,4423,107,723
889870,50400,322,6442
754179,17514,937,2689
77884,7126,68,994
1097806,7771,674,2740
434759,6946,171,564
519369,24991,257,2536
64583,759,7,101
6176066,344502,8172,97131
14289,106,2,8
793477,53281,2948,6771
157335,624,160,29
511224,12478,307,2414
245610,9004,124,427
207225,1530,40,484
283170,22397,142,1106
559037,2666,419,1144
682632,15015,199,1369
389390,1453,205,200
1832911,61943,1406,9673
196476,5281,139,1118
162026,7355,89,1398
797181,62277,450,1811
30360,3236,15,401
2464654,25590,825,3725
66040,3227,73,691
526133,6855,464,1886
174916,1729,108,222
2437554,70432,1172,6796
40820,336,42,247
332141,19975,337,1958
630362,34795,358,1938
324149,2145,221,486
91973,221,54,103
271583,2196,54,430
19711,22,6,15
62947,410,70,97
382246,5204,307,2524
129882,9120,95,1561
1834412,19878,2314,2716
312817,14422,628,2568
107367,1071,35,300
374886,2560,217,764
747584,2832,1375,1093
124670,396,59,48
485164,2331,237,1293
94849,4087,155,490
10311506,388864,7644,27036
3765990,116999,4148,14779
1462241,58253,986,9348
1063072,53757,1110,7578
636464,17862,777,4695
942454,13685,755,1867
621322,95054,1312,12169
504028,27250,425,5845
86944,1235,79,156
1662312,112532,1389,8273
614170,33442,1059,4853
668208,13504,525,0
842228,23625,274,1853
312362,8011,234,632
2192934,35229,1389,17152
194851,1222,411,274
1257735,35124,833,3314
1159783,15667,881,2529
214381,1295,132,429
2283526,17550,637,1919
145958,6134,144,946
396609,13028,297,4038
82580,2766,70,338
20436,29,6,18
152681,520,177,29
1233414,27490,819,4161
59542,282,62,28
358798,5193,88,959
103151,56,21,35
1606780,75870,536,8201
1883936,42216,433,1357
416381,1833,373,254
2910944,14540,2038,4662
101576,4141,79,766
359198,1991,236,660
303586,1990,206,550
486411,3751,365,1190
914897,37346,443,3145
118481,9548,121,1310
278261,10641,134,1794
337067,10474,99,1226
106965,920,54,252
67299,1792,42,793
816085,18745,982,2954
360275,3374,216,448
67638,4515,143,1014
227978,1646,43,541
119177,5303,31,266
350159,11143,173,493
362837,2716,252,694
1165229,57834,729,3040
80068,2481,155,313
94359,6855,337,1391
908908,55788,3308,7146
33724,214,8,34
141398,6010,91,1242
73181,2793,275,810
699934,3536,326,967
104315,4450,111,805
110657,1575,180,238
140800,1516,704,1088
247481,6318,73,523
4628861,129027,4970,16478
11307303,405861,8321,30726
584350,22934,662,2639
1946746,119453,1652,8720
796106,22438,932,5963
1796164,65337,1201,10195
1347634,16608,977,2290
4649138,72158,2519,9395
108418,12317,82,1452
249262,5770,266,952
1135998,56291,1153,6777
1140502,128767,2506,16387
72701,309,51,150
1015596,17683,738,0
119593,2001,20,86
604810,30199,504,6373
874689,40472,1539,5598
277354,1461,244,277
99107,1374,86,171
1055546,30366,326,2195
20760,20,5,19
234521,1400,543,330
275855,23090,235,2911
88017,4271,173,587
2566376,38467,1640,0
87326,3044,60,347
66476,25,7,21
377774,5287,88,330
284779,2616,442,400
114696,1297,217,807
154845,515,107,47
174749,3494,137,577
964101,57836,1759,6043
545220,12039,125,1417
345252,1765,211,505
1541452,21065,1178,2713
517425,14921,373,4569
1322869,36043,873,3439
303530,1985,207,344
346478,7539,91,556
115633,396,77,402
206829,1912,66,1026
138091,581,155,35
784361,7365,439,951
199971,21607,620,35316
363904,13119,159,1396
36919,1224,40,250
194221,14631,106,1905
622450,2714,250,849
130172,2874,112,1124
175358,7881,242,1816
589009,36176,602,4359
924135,5526,577,1575
313560,2612,68,408
163890,6603,151,899
96086,1908,70,526
387962,5353,93,1001
4265491,18676,3078,5447
105722,4652,154,630
103493,594,104,53
2202412,47777,513,1480
1783053,81659,585,8655
70279,1904,31,125
151449,5458,106,948
29127,151,72,201
823882,13276,561,1735
5102129,134882,5369,16877
12087480,419216,8825,31446
297259,12967,112,338
969541,31221,1051,3288
190771,10220,209,719
137140,5979,92,1695
293688,1022,159,398
114092,5382,209,676
65604,116,27,166
593121,2946,878,282
348848,15127,170,2733
222306,2863,29,161
259373,1337,301,201
97405,1767,260,533
1219653,8073,744,3261
196658,17218,125,1779
1047784,48866,582,2611
2295804,124484,1928,9013
253789,10335,255,2596
1969566,68908,1298,10694
884295,25276,1038,0
461936,5730,268,585
379036,4730,218,1671
328031,6890,336,1117
128021,426,48,1103
186957,1671,337,1264
133154,452,77,48
330529,4252,533,2112
1513658,17638,1066,2408
249882,2078,49,59
22809,2643,15,676
150146,584,159,37
112905,3572,72,719
430460,2762,108,1513
1108460,18682,776,0
103560,669,54,547
980577,43449,1733,5902
306710,20308,238,8719
1298699,135646,2832,17230
91878,1033,114,291
1165097,57265,1178,6859
479241,31767,323,3456
42776,417,110,193
56476,465,174,207
653959,31778,534,6747
446330,15875,165,1123
345406,10141,236,2084
1192687,4439,665,1306
60049,448,78,83
45477,426,60,217
1722017,17335,1007,2325
222917,3811,165,628
1321125,36708,396,2520
78468,2245,228,0
96435,2064,81,481
172991,6770,133,1470
45724,35,11,31
265836,13489,1164,3763
16681,279,8,149
382402,1916,245,594
1470733,6662,1162,1330
244121,1452,549,336
75881,935,39,280
105108,1890,61,603
354947,3026,527,454
46611,536,43,222
24029,29,5,5
47480,370,45,87
122287,5270,232,703
2894524,41166,1877,19202
351638,3092,290,569
117211,5093,181,1307
1776191,21784,1286,2426
789833,24892,279,564
383590,8332,141,1110
401985,14841,325,3899
82389,60,17,11
289168,13024,317,904
211535,2743,481,718
709093,2469,276,8
5487533,140715,5668,17320
1376669,106711,7880,3965
287983,726,87,1759
121526,166,48,230
643432,23076,271,3756
590522,17662,519,4176
143475,546,79,38
165927,6777,268,879
854900,10390,500,1065
21017,22,14,28
483600,1553,358,700
795281,6351,411,2338
480358,1506,216,506
2714887,11942,1391,4992
249568,8837,152,2386
12667200,429398,9124,31121
156219,4595,285,842
52728,335,48,71
2660629,129424,2190,9234
140142,5171,185,0
236249,1020,106,1004
248988,3112,33,144
146956,3228,146,741
395711,1620,393,234
248455,7174,200,1291
320928,704,85,509
23553,600,23,282
207321,3817,247,920
185344,4846,102,898
36981,405,53,98
229843,1814,235,460
36445,801,22,87
1491616,123688,476,22490
217316,18326,136,1902
2121025,71756,1386,11070
223228,1828,381,1502
551334,5587,855,2716
1370718,57462,699,2802
81595,1594,33,251
206579,703,206,45
524696,29176,371,11959
156420,8285,103,556
107129,324,49,488
373279,7545,374,1192
951419,26783,1121,0
1709859,18717,1181,2561
740933,20198,236,1406
203021,1944,59,214
402275,2673,76,246
1803557,5735,908,1494
2201357,24694,1482,2703
991131,29000,336,598
559573,19462,398,2764
609360,10473,201,1357
2154309,43029,2294,2543
45471,380,59,170
248433,6045,78,1755
255488,5420,140,458
741925,2641,338,46
294758,3319,634,789
679506,19250,577,3705
295762,1427,300,183
80075,58,25,15
110909,3383,64,339
388194,5397,415,1360
394183,2484,199,5
184639,648,128,64
318205,13807,350,1047
1548962,122671,1422,15016
167679,562,163,31
288050,1794,115,380
287658,1979,205,410
341947,21309,183,3955
741486,29912,841,4439
188956,1429,84,393
20807,25,7,25
273628,9353,162,2078
112705,3523,157,898
1622049,116851,8955,4356
148179,2628,52,145
122231,3971,21,146
366891,877,101,2035
722254,25041,290,3278
91258,1072,189,415
151483,3883,1486,2459
139596,177,56,256
138314,773,83,234
155633,6046,62,819
2190,96,4,22
1154976,7646,553,2523
5770418,145148,5836,17764
217956,11699,90,1163
351764,706,143,893
59963,234,32,122
127270,2515,17,148
378126,777,99,556
88170,2219,67,1793
650645,1912,492,777
182291,7166,284,934
312540,6666,82,324
244699,4275,226,889
105324,1638,19,297
78496,3917,43,423
127344,11208,82,308
152976,897,112,363
205564,5226,341,837
99627,595,98,49
278396,7368,268,0
378273,2848,232,824
588887,1749,248,613
49298,530,16,131
60303,2239,29,97
3571873,13988,1787,5684
51360,3729,17,614
213298,2596,132,685
3111226,127079,12403,18233
832953,34111,251,2823
2359381,25749,1546,2789
599334,24544,461,3938
68936,651,99,306
1017187,28060,950,3883
586336,18289,385,2470
2911703,53550,2902,3180
344397,11599,965,2071
738889,11294,234,1474
481646,9119,148,1965
23748,299,3,47
256552,7413,91,500
1210811,32551,402,796
78716,51,25,12
678524,27761,121,1968
115712,1529,8,313
277772,1430,248,127
272029,1809,217,617
109940,3616,57,397
399646,13557,295,1326
505776,25566,533,5509
196548,6192,36,299
42437,35,6,46
98842,4633,37,564
161554,596,152,48
40978,958,7,97
770606,124566,1962,18534
2283291,149235,2049,18633
340189,3052,659,1169
73334,861,24,423
283447,1981,142,191
415611,2763,218,819
51742,311,42,66
111623,587,51,150
108786,697,1479,703
35467,227,8,48
157388,1127,18,32
236425,7955,156,1613
118343,354,58,362
774795,2776,396,78
175367,4639,201,1122
440829,5814,448,1444
151767,8474,63,573
576275,35174,759,2431
276647,15174,155,6326
144275,5518,88,537
954024,39475,340,3077
211592,1673,213,462
232278,3354,60,169
117766,4077,38,977
338412,3577,692,847
294908,1986,196,314
159299,9683,39,2256
546622,8282,123,407
552401,29707,269,5211
402300,18705,458,1402
577304,2753,214,574
243608,730,161,71
1054359,37125,1144,5239
372703,2605,197,1030
716516,19947,590,3723
67278,3557,120,487
37736281,1735931,21972,241237
1413458,42030,1184,6740
1041073,39297,312,3254
333112,5813,292,661
236065,5500,44,476
899247,103760,15571,27193
795966,21709,463,2951
292247,6669,155,530
26783,55,5,13
187245,436,75,375
1296766,31993,1331,4415
197900,2394,372,432
828248,54869,628,3095
532585,3313,849,221
624023,18102,455,1761
38902,35,20,58
236911,2281,23,426
291132,1384,267,149
281589,8587,137,1104
190200,1543,53,379
1135247,6380,880,1484
89074,4361,105,522
210847,3601,132,1483
523485,5824,458,2343
312770,11013,165,1104
103602,57,29,12
394249,2169,5464,2555
156628,573,180,24
944946,35927,869,7238
1026378,33918,179,2322
481946,2525,346,831
594462,10064,176,2061
409887,2800,230,745
78271,2794,47,383
585223,18409,537,1738
782577,11520,238,1479
239894,8054,579,2504
26282,357,20,0
879567,55000,383,5979
25916,582,6,78
118378,300,50,305
275246,6188,85,1141
434337,7151,605,805
543481,5342,118,748
106614,298,210,210
1284637,33686,414,773
597163,4903,1084,1733
285527,1904,212,321
317892,14314,128,1035
1494972,58752,1579,3411
173149,11187,154,1718
229005,7719,246,1205
245177,733,132,924
1446631,9816,1122,750
258053,9085,1170,2573
3433497,62537,3074,3481
1891158,59967,623,3890
156379,670,94,97
102263,1698,42,31
209956,1993,99,314
53939,485,22,119
584730,4094,571,293
470516,12570,292,2221
132070,5503,48,660
90766,4592,72,543
1488650,8946,2911,1650
50233,368,61,81
151245,3705,53,773
975043,143966,2492,20821
137042,6243,40,419
199364,1218,18,181
56367282,2157741,34078,303178
1939398,50688,1620,8434
1650988,20852,927,1792
778309,1544,335,2063
2357511,198004,31887,46266
616077,5816,934,1116
473068,7602,390,804
3074263,96530,1011,7415
343900,696,159,721
1354894,75102,1110,4202
1111507,40728,338,3422
842803,17356,308,2084
433039,6294,563,4632
205872,737,238,233
931741,23458,511,2869
545577,16193,288,3414
635433,59806,546,7529
391639,7307,84,594
181162,1093,113,328
151894,6007,154,710
3335439,12577,2119,2460
274459,1316,220,152
123416,3673,86,522
368207,9991,162,1283
1014891,8647,795,3375
208501,3809,91,163
1409223,33149,1438,3023
363966,2564,94,840
68967,43,25,81
160529,2046,61,785
90188,1019,119,353
362671,12154,197,1186
1295601,59286,1453,7022
433714,18522,480,2814
750633,20516,545,1730
161225,431,286,250
300553,8975,705,2676
755189,3842,366,919
109555,614,101,70
1049846,9923,247,1301
122078,4427,105,721
525001,2643,6996,3125
1538576,81240,678,7586
262066,768,229,37
198281,2165,44,116
93952,268,50,290
214851,2622,92,654
2731732,14268,4885,2510
297993,2011,219,392
115609,2107,118,346
41218,556,17,0
682992,10738,197,2016
173033,4955,61,378
264975,5214,217,308
2243552,13738,1834,1291
117242,924,81,240
1153006,35467,197,2307
639289,19290,581,1803
184929,7277,125,741
134678,12469,216,304
321790,10150,1688,2999
66637636,2331359,41154,316185
1441878,134906,1086,9316
2115548,24322,1263,2179
528823,23483,476,2484
865993,28871,640,3287
194229,5099,78,246
1088888,2245,496,2656
856874,13695,1005,1791
3128381,231529,37662,52901
834157,6975,1131,1319
4053326,113528,1243,8389
499726,19774,393,2937
777056,8964,841,6355
793705,36140,2438,10143
132403,3258,27,122
116243,3501,83,301
74691,301,45,219
44035,38,8,34
592784,8959,473,849
203464,4213,376,327
523563,26170,680,5228
23879,674,13,406
774565,33591,1006,4266
131523,8952,59,622
409767,14152,171,351
815492,66191,873,8053
286510,1253,244,143
130309,1484,213,841
1038976,4297,341,2196
323586,21486,276,960
402390,796,188,859
2289723,199782,4451,10481
207223,4522,52,401
187124,4677,127,542
1549141,82114,1274,4532
865730,36454,5115,3268
275883,864,302,323
238167,2169,47,163
157293,429,100,549
1159003,41620,357,3772
287437,1481,175,455
1761478,37411,3069,3178
154285,523,181,54
714020,11230,324,1868
288013,6196,89,522
404413,10518,691,1527
333783,22738,103,1134
60022,3115,44,420
18947,144,4,90
1038435,24846,546,3033
85945,1436,255,891
141496,851,116,86
84403,5764,42,1318
70773,1415,76,224
544889,7318,228,299
33927,66,7,19
74789251,2444960,46172,330710
2273723,184339,1781,11998
3163535,175946,4107,21647
1215750,37673,1014,3851
607076,17818,257,1035
653181,9549,484,1159
119189,991,31,21
1040886,32122,855,3024
1297536,2735,604,3248
1079240,16421,1326,1770
812346,27398,654,3765
78769,1330,29,856
1106283,26607,396,774
66780,110,26,147
256247,805,119,447
267160,6801,75,1480
3906905,254910,42045,58915
970140,16369,343,1284
179865,2436,19,70
223010,1961,381,1011
666138,4213,896,421
420624,25650,349,1117
958200,7388,1200,1185
54857,50,17,22
160658,447,47,1377
65364,283,68,314
4465426,118244,1307,8665
251421,4628,74,627
2199466,12514,1137,3937
184922,8926,398,9858
972909,10284,997,7266
81456,3058,52,475
112360,2998,204,0
945280,7490,541,1575
89239,4128,444,594
173592,0,0,29
61600,602,53,60
472150,3300,126,1671
956995,39809,2822,11046
207239,1275,142,230
122685,691,68,290
335574,4366,525,1247
140920,551,160,42
975746,39097,1194,5095
3211941,231096,5397,12490
285941,21659,126,1481
89479,671,9,11
413615,6413,104,586
94887,454,60,361
164412,16078,1928,4132
353214,2461,268,724
415685,1491,328,155
322424,9152,202,832
98412,4858,263,1581
286592,25797,802,4899
178704,2305,245,797
415876,10657,273,1006
263126,9808,364,932
667156,9700,511,864
166519,2798,144,299
167907,10588,74,711
667827,29262,881,5993
81416,420,65,98
107323,1748,107,299
254999,1966,147,764
161685,4084,134,356
452311,15969,244,1068
956199,72053,1027,8084
170324,12216,654,2847
80360459,2513103,49170,335920
2538770,197088,2057,12831
5054795,231556,6778,26717
1091340,32841,589,1946
1368819,40540,1123,4079
862357,11593,676,1505
43640,53,14,56
487613,5274,407,570
849246,25960,763,3854
142797,1147,38,37
333154,700,89,1829
1492202,164893,3070,7447
560840,9771,130,1863
119451,158,43,119
435297,13350,667,13127
868849,16083,332,1467
1421466,17240,1268,1606
2847270,14888,1515,2874
114433,1592,34,1001
914029,29452,714,4059
2414433,135708,2500,14258
1537175,3455,752,3768
1945607,27037,676,1560
892103,60440,952,0
1388010,31247,540,956
358499,1168,250,718
579374,40113,1265,7026
3831858,17001,1785,4767
151106,4407,100,725
4496557,268881,44648,62876
1356214,79205,17140,17011
365451,1118,147,582
1099012,33315,906,3038
949459,5025,1132,518
130618,5304,626,650
200677,690,112,1166
401391,1920,225,295
265698,2136,423,1080
215664,0,0,46
128377,866,76,99
305713,818,58,257
159359,20283,153,3317
146173,754,77,305
228716,3937,63,610
453431,27005,367,1209
316824,5224,85,885
197734,2626,21,75
403769,2534,224,950
1048792,7546,1230,1652
